id;nisha_id;bol;formulirovka_klienta;istochnik_tip;chastota_vstrechaemosti;ostrota_1_5;kto_reshaet_seychas;kak_my_zakryvaem;status
P01;N022;Продали фильтр без анализа воды - не помогло;"поставил фильтр, вода как была рыжая";ГИПОТЕЗА - проверить в отзывах;не измерено;5;почти никто;продажа только после анализа воды;не проверена
P02;N022;Цена "от" превращается в тройную на монтаже;"насчитали втрое больше чем в объявлении";ГИПОТЕЗА;не измерено;4;единицы;полная смета до сделки;не проверена
P03;N022;Не знают когда менять картриджи;"а когда менять? никто не сказал";ГИПОТЕЗА;не измерено;3;никто;напоминание и подписка на расходку;не проверена
P04;N055;Сорвали срок к открытию заведения;"открытие через неделю, мебели нет";ГИПОТЕЗА;не измерено;5;мало кто;срок с запасом + два цеха-партнёра;не проверена
P05;N055;Партия отличается от образца;"стулья пришли другого оттенка";ГИПОТЕЗА;не измерено;4;единицы;фото реальной партии до отгрузки;не проверена
P06;N055;Никто не считает комплект под план зала;"сколько мне надо столов на 40 посадок?";ГИПОТЕЗА;не измерено;3;почти никто;расчёт комплекта по плану как оффер;не проверена
P07;N089;Купил оборудование - не знает как работать;"пресс есть, а что дальше непонятно";ГИПОТЕЗА;не измерено;5;почти никто;видеообучение в каждой продаже;не проверена
P08;N089;Расходка не подходит к аппарату;"бумага не та, печать плывёт";ГИПОТЕЗА;не измерено;4;мало кто;подбор расходки под конкретную модель;не проверена
P09;N097;"В наличии" оказывается "под заказ 2 недели";"написано в наличии, а везти 10 дней";ГИПОТЕЗА;не измерено;5;мало кто;честный статус наличия в объявлении;не проверена
P10;N070;Прислали не то крепление;"ковш не встал, крепление другое";ГИПОТЕЗА;не измерено;5;мало кто;сверка по модели техники до оплаты;не проверена
