id;tovar;CHANNEL_FIT;marzha_rub;marzha_proc;predoplata;kapital;kapital_ok;ekonomika;korzina;glavnyy_risk
T03;Комплект обезжелезивания для скважины;7.6;21180;26.8;50%;0;да;ПРОХОДИТ;AVITO TEST READY;Монтаж - обязательная часть чека. Без бригады оффер не собирается
T01;Комплект старт печати на футболках;7.5;8870;10.4;50%;21080;да;ГРАНИЦА;AVITO TEST READY;Маржа 10,4% - тоньше всех прошедших. Держится на премии за обучение, а она не проверена
T04;Столешница под размер (постформинг / HPL);7.8;2860;55.0;50%;0;да;НЕ ПРОХОДИТ;AVITO TEST READY;Маржа 2 860 руб за сделку: модель требует потока 30-40 заказов в месяц
T08;Комплект стеллажей для ПВЗ;5.6;24275;22.1;50%;15125;да;ПРОХОДИТ;NON-AVITO OPPORTUNITY;Ozon держит категорию Мебель для ПВЗ, б/у стеллажи допускаются площадками
T06;Штабелёр ручной гидравлический 1-1,5 т;5.8;11780;19.0;50%;15500;да;ПРОХОДИТ;NON-AVITO OPPORTUNITY;Нужны гарантия и сервис, которых у продавца без истории нет
T02;ДТФ-комплект: принтер + шейкер;5.0;54189;16.0;20%;196431;НЕТ;ПРОХОДИТ;ECONOMICALLY WEAK;Чек 338 675 руб. Предоплата 50% незнакомому продавцу на такой сумме нереалистична
T09;Доильный аппарат для малого хозяйства (1-3 головы);6.0;2940;12.2;50%;6000;да;НЕ ПРОХОДИТ;ECONOMICALLY WEAK;Маржа 2 940 руб при плотной дилерской сети производителя
T05;Рохля гидравлическая 2-2,5 т;6.5;2340;18.0;0%;37960;да;НЕ ПРОХОДИТ;ECONOMICALLY WEAK;Оффер держится на срочности, срочность требует остатка. Под заказ ниша умирает
T10;Механизм трансформации дивана (еврокнижка);3.5;;;;;;ДАННЫХ НЕДОСТАТОЧНО;SUPPLIER RISK;Закупочные цены не найдены: источник поставки не подтверждён
T07;Настольный запайщик пакетов / вакуумный упаковщик;6.3;482;11.5;50%;840;да;НЕ ПРОХОДИТ;KILL;Маржа 482 руб. Настольные запайщики массово на маркетплейсах
