id;nisha;tip_klienta;chek;opisanie;status;kod;prichina;score;yf;kommentariy
P01;Груминг-оборудование (столы, ванны, фены, машинки);B2B;15-80 тыс;Оснащение груминг-салонов. База измерена: 2800+ салонов в миллионниках, 841 в Москве (S47);ПРОШЛА;;;7.01;;"Габаритные столы и ванны МП обслуживает плохо; расходка (косметика, ножи, насадки) даёт повтор; база салонов измерена"
P02;Наполнители для кошачьих туалетов;B2C/опт;500-3 тыс;Расходный товар массового спроса;ОТСЕЯНА;RF-10;Объём при копеечной цене - классический складской товар. Экономика держится на обороте, а не на марже с сделки;;;
P03;Лежанки, домики, когтеточки под размер;B2C;3-15 тыс;Изготовление под габарит животного и интерьер;ПРОШЛА;;;6.0;;Под заказ без закупки, но чек низкий и спрос отложенный - лежанку можно не покупать
P04;Клетки и вольеры для питомников и заводчиков;B2B;20-120 тыс;Оснащение питомников, габарит, изготовление под размер;ПРОШЛА;;;6.45;YF-2;Габарит и изготовление под размер, но клиентов мало и сезон весна-осень
P05;Амуниция для крупных и служебных собак;B2C;3-20 тыс;Шлейки, намордники, снаряжение;ПРОШЛА;;;5.96;;"Компактный товар, МП рядом; выигрыш только в специализации"
P06;Профессиональная аквариумистика (стойки, УЗВ, фильтрация);B2B/хобби;30-200 тыс;Оборудование для разведения и профессиональных систем;ОТСЕЯНА;LOGISTICS;Хрупкость и бой при доставке - то же основание, по которому отсеяна N080. Одинаковые ниши отсеиваются одинаково;;;
P07;Террариумы и оборудование для рептилий;B2C;10-60 тыс;Узкий сегмент экзотических животных;ОТСЕЯНА;LOGISTICS;Хрупкость плюс очень узкий сегмент. То же основание, что P06;;;
P08;Торговое оборудование для зоомагазинов;B2B;30-150 тыс;Витрины, стеллажи, холодильные витрины для зоорозницы;ОТСЕЯНА;DUPLICATE;Это сегмент уже существующей ниши N001 Торговое оборудование, прошедшей фильтр и занявшей 20-е место. Не новое направление, а подмножество;;;
P09;Автокормушки, автопоилки, фонтаны;B2C;2-12 тыс;Компактная электроника для владельцев;ОТСЕЯНА;RF-6;Компактный стандартизированный товар с артикулом. Прямое сравнение по цене на МП за десять секунд;;;
P10;Снаряжение для кинологов и охотничьих собак;B2C;5-40 тыс;Специализированное снаряжение для рабочих собак;ПРОШЛА;;;6.26;;Узкий платёжеспособный сегмент, но чек невысокий
P11;Оборудование для дрессировочных площадок и аджилити;B2B;30-250 тыс;Снаряды, покрытия, комплекты для клубов и площадок;ПРОШЛА;;;7.11;YF-2;"Габарит и комплектная продажа под площадку, поле почти пустое; но клиентов мало и сезон"
P12;Оборудование для приютов и передержек;B2B;20-150 тыс;Клетки, вольеры, кормовые системы для приютов;ПРОШЛА;;;6.62;;Поле пустое, но приюты платят мало и медленно, часто через бюджет и пожертвования
P13;Корма для животных оптом;B2B/B2C;5-50 тыс;Крупнейший сегмент рынка: 487 млрд руб, 83% всего зоорынка (S46);ОТСЕЯНА;RF-6+RF-10;Двойной стоп. 96% рынка кормов занимают отечественные бренды - это прямая ценовая конкуренция с производителями, а не с посредниками. Плюс объём при низкой марже требует склада. Отсеивается по тем же двум флагам, что убрали 20 ниш из первой сотни;;;
