id;domain;nisha;tip_klienta;chek;opisanie;status;kod;prichina;score;yf;test_no_stock;mp_shield;margin_rub;check;weak_field;demand_stab;repeat;speed;logistics;supplier_ru;kommentariy
E01;PRODUCTION;Маркировочное оборудование (принтеры этикеток, термотрансфер);B2B;30-150 тыс;Расширение Честного знака на новые группы делает маркировку обязательной (S10);ПРОШЛА;;;7.42;;9;7;6;6;6;9;10;7;7;7;Единственная новая ниша с регуляторным драйвером: маркировка обязательна по закону. Риббоны и этикетки дают максимальный повтор
E02;PRODUCTION;3D-печать: принтеры и расходка;B2B/хобби;20-120 тыс;Микропроизводства прототипов и мелких серий;ПРОШЛА;;;5.9;;9;4;4;4;4;5;9;8;8;7;Принтеры массово представлены на МП, выигрыш только в расходке и поддержке
E03;PRODUCTION;Оборудование для порошковой окраски (камеры, пистолеты, печи);B2B;80-500 тыс;Оснащение малых покрасочных участков;ПРОШЛА;;;7.61;;9;10;8;8;8;5;7;5;3;6;Габарит и подбор под изделие, МП не обслуживает. Краска даёт повтор
E04;PRODUCTION;Оборудование для производства бетонных изделий (вибростолы, формы);B2B;40-300 тыс;Малые производства тротуарной плитки, блоков, ЖБИ;ПРОШЛА;;;6.41;YF-2;9;9;6;6;7;5;7;5;3;7;Формы расходуются и дают повтор, но спрос завязан на сезон стройки
E05;PRODUCTION;Заточное оборудование и расходка;B2B;20-120 тыс;Заточка инструмента для мастерских и производств;ПРОШЛА;;;6.55;;9;6;4;4;7;7;9;7;7;6;Абразивы и круги дают высокий повтор, но чек невысок
E06;PRODUCTION;Паяльные и монтажные станции для электроники;B2B;15-90 тыс;Ремонтные мастерские и мелкосерийная сборка;ПРОШЛА;;;5.81;;9;4;4;4;5;5;7;8;8;6;Компактный товар, широко представлен на МП
E07;PRODUCTION;Аспирация и пылеудаление для цехов;B2B;60-400 тыс;Требование охраны труда для деревообработки и металлообработки;ПРОШЛА;;;7.72;;9;10;8;8;8;7;5;5;3;7;Габарит, расчёт под цех, нормативная обязательность. МП не обслуживает
E08;PRODUCTION;Вакуумная формовка и малое литьё полимеров;B2B;50-350 тыс;Мелкосерийное производство изделий и упаковки;ПРОШЛА;;;7.01;;9;9;6;6;8;5;7;5;5;5;Узкий сегмент, но поле почти пустое
E09;LOGISTICS_PACK;Оборотная пластиковая тара и ящики;B2B;3-40 тыс;Тара для производств и логистики;ОТСЕЯНА;RF-10;Объём при низкой цене: тара - это воздух в кузове. Экономика держится на складе и обороте;;;;;;;;;;;;;
E10;LOGISTICS_PACK;Паллеты и поддоны;B2B;5-50 тыс;Деревянные и пластиковые поддоны;ОТСЕЯНА;RF-10;То же основание: низкая маржа при большом объёме, требуется склад и свой транспорт;;;;;;;;;;;;;
E11;LOGISTICS_PACK;Весовое оборудование (платформенные и паллетные весы);B2B;25-200 тыс;Взвешивание на складах и производствах;ПРОШЛА;;;6.92;;9;8;6;6;6;7;5;7;5;7;Габарит платформенных весов, подбор по нагрузке. Поверка на стороне владельца, не продавца
E12;LOGISTICS_PACK;Терминалы сбора данных и складское оборудование маркировки;B2B;30-180 тыс;ТСД, сканеры, принтеры для работы с маркировкой на складе;ПРОШЛА;;;6.96;;9;6;6;6;5;9;7;7;8;6;Тот же регуляторный драйвер, что у E01. Но товар компактный - МП ближе
E13;LOGISTICS_PACK;Погрузочная оснастка: рампы, уравнительные платформы, докшелтеры;B2B;150-800 тыс;Оборудование зоны погрузки склада;ПРОШЛА;;;7.23;YF-3;9;10;10;10;8;5;3;3;3;6;Очень высокий чек и полная защищённость от МП, но монтаж обязателен и цикл длинный
E14;LOGISTICS_PACK;Средства крепления груза (ремни, распорки, сетки);B2B;3-30 тыс;Крепление грузов в транспорте;ПРОШЛА;;;6.35;;9;5;4;4;5;7;9;8;8;7;Расходуемая позиция с высоким повтором, но чек низкий и МП рядом
E15;LOGISTICS_PACK;Сборные холодильные камеры для склада;B2B;150-900 тыс;Холодильные и морозильные камеры под размер помещения;ПРОШЛА;;;7.43;YF-3;9;10;10;10;7;7;3;5;3;6;Расчёт под помещение, очень высокий чек, вынужденный спрос при поломке. Монтаж обязателен
E16;LOGISTICS_PACK;Тентовые ангары и модульные складские конструкции;B2B;300 тыс - 2 млн;Быстровозводимые склады и навесы;ПРОШЛА;;;6.81;YF-2,YF-3;10;10;10;10;7;5;3;3;3;6;Чистый под заказ и максимальный чек, но сезон монтажа и очень длинный цикл
E17;TRADE_EQUIP;Кассовое оборудование и оснащение;B2B;15-80 тыс;Онлайн-кассы, денежные ящики, сканеры для розницы;ПРОШЛА;;;6.11;;9;4;4;4;4;9;7;8;8;6;Обязательность по 54-ФЗ и замена фискального накопителя раз в 13-36 месяцев дают повтор. Но товар компактный и есть на МП
E18;TRADE_EQUIP;Оборудование для пунктов выдачи заказов;B2B;40-250 тыс;Стеллажи, стойки, примерочные для ПВЗ. Драйвер тот же, что у финалистов: рост числа заказов в e-commerce на 20% (S9);ПРОШЛА;;;8.1;;10;9;8;8;7;9;5;7;5;8;Габарит, комплект под помещение, растущий сегмент. Открытие ПВЗ идёт постоянно
E19;TRADE_EQUIP;Торговое оборудование для аптек;B2B;50-300 тыс;Аптечная мебель и витрины с учётом требований к хранению;ПРОШЛА;;;7.18;;9;9;8;8;7;5;3;5;5;6;Габарит и расчёт под помещение, узкий но платёжеспособный сегмент
E20;TRADE_EQUIP;Оборудование для магазинов разливных напитков;B2B;60-350 тыс;Охлаждение, розлив, кеговое оборудование;ПРОШЛА;;;7.06;;9;9;6;6;8;5;7;5;5;6;Кеги и расходка дают повтор, поле узкое. Лицензия на стороне клиента, не продавца
E21;TRADE_EQUIP;Защищённые витрины для ювелирных и оптик;B2B;80-400 тыс;Витрины со стеклом и защитой для дорогого товара;ПРОШЛА;;;7.33;;9;10;8;8;8;5;3;5;3;6;Габарит, хрупкость, изготовление под интерьер. Узкий сегмент с высоким чеком
