id;nisha;kontur;drayver;otraslevoy_risk;MARKET;CHANNEL_FIT;CUSTOMER_SIGNAL;DEMAND_EVIDENCE;FOUNDER_FIT_v1;FOUNDER_FIT_v2;delta_FF;COVERAGE;CONFIDENCE;COMPETITIVE_DIFFICULTY;RAW_v2;ADJUSTED_v2;prev_verdict;VERDICT_v2;note
N052;Мебельные комплектующие: столешницы, фасады;Мебельное производство + частник после ремонта;Ремонт и обновление интерьера;Мебельная отрасль;7.5;7.25;2;7.57;7.14;7.35;0.21;42;0.71;7.0;7.41;5.26;CONDITIONAL GO;CONDITIONAL GO;Частник ищет поиском, решает подача и фото работ. Продукт простой
N099;Упаковочное оборудование (запайщики, стрейч-машины);Промышленное производство и фасовка;Импортозамещение и рост отгрузок;Упаковка и пищепром;8.65;6.65;3;7.3;3.57;6.4;2.83;42;0.71;6.0;7.33;5.2;WAIT / PARTNER REQUIRED;PARALLEL VALIDATION;Технически сложный подбор: производительность, тип плёнки, режимы
N097;Складская техника (рохли, штабелёры);Склады и ПВЗ;Поломка техники, рост складов;Складская логистика;8.15;6.55;2;6.75;3.86;7.25;3.39;42;0.71;5.0;7.21;5.12;KILL;KILL;Простой товар, простая сделка, быстрый цикл
N022;Водоочистка и фильтрация для частного дома;Частный дом и дача;Качество воды;Частное домовладение;8.1;7.6;2;7.81;2.57;6.65;4.08;32;0.657;6.0;7.6;4.99;WAIT / PARTNER REQUIRED;PARALLEL VALIDATION;Осваиваемость 3 из 10: нужна реальная инженерная экспертиза по водоподготовке
N057;Складские стеллажи и мезонины;Склады и магазины;Расширение и переезд;Складская логистика;8.0;6.5;2;5.92;4.43;6.4;1.97;42;0.71;6.0;6.81;4.84;KILL;KILL;Расчёт под помещение, цикл длиннее
N089;Оборудование для сублимации и печати на текстиле;Микробизнес и самозанятые;Запуск своего дела;Микропроизводство мерча;8.15;8.15;2;8.32;4.0;7.75;3.75;18;0.588;4.0;8.1;4.76;PARALLEL VALIDATION;PARALLEL VALIDATION;Упаковка комплекта и обучение - чистый маркетинг. Консультационная продажа новичку
N077;Оборудование для КФХ (доильные, кормораздача);Сельское хозяйство;Господдержка и модернизация АПК;АПК;8.55;5.6;3;6.84;1.86;5.25;3.39;42;0.71;3.0;6.66;4.73;WAIT;WAIT;Спрос почти не ищется поиском, канал закупки - дилеры и грантовые процедуры
N053;Механизмы трансформации и каркасы мягкой мебели;Мебельное производство;Замена импортной фурнитуры;Мебельная отрасль;7.7;5.05;3;8.06;7.29;6.0;-1.29;42;0.71;6.0;6.64;4.71;WAIT;WAIT;Спрос не ищется поиском, решает спецификация и цена, а не подача. Номенклатура осваивается
N055;Мебель для HoReCa;Общественное питание;Открытие и переоснащение заведений;Общепит;7.5;6.6;2;5.0;8.14;6.6;-1.54;42;0.71;6.0;6.55;4.65;PARALLEL VALIDATION;PARALLEL VALIDATION;Навыки переносятся, но цикл сделки длинный и рынок сжимается
N023;Скважинное оборудование (насосы, кессоны, оголовки);Частный дом и дача;Обустройство скважины;Частное домовладение;8.55;7.05;2;5.74;2.57;6.25;3.68;32;0.657;7.0;7.08;4.65;KILL;KILL;Сезон закрывается, осваиваемость средняя
N021;Насосное оборудование и гидроаккумуляторы;Частный дом и дача;Аварийная поломка;Частное домовладение;7.55;7.25;2;6.13;3.0;7.0;4.0;32;0.657;7.0;7.07;4.64;PARALLEL VALIDATION;PARALLEL VALIDATION;Товар стандартизирован - подача решает меньше. Цикл сделки очень быстрый
N069;Товары для коммерческого транспорта;Перевозчики и автопарки;Старение парка, снижение простоев;Коммерческий транспорт;7.95;7.0;2;6.25;2.71;7.25;4.54;28;0.64;5.0;7.18;4.6;PARALLEL VALIDATION;PARALLEL VALIDATION;Нужна база применимости по моделям, но осваивается. Авито в контуре присутствует
N087;Оборудование для единоборств (татами, мешки, ринги);Спортивные залы и секции;Открытие секций и износ инвентаря;Спорт и образование;7.85;6.8;2;4.86;3.71;6.7;2.99;28;0.64;4.0;6.71;4.29;PARALLEL VALIDATION;PARALLEL VALIDATION;Комплектная продажа, навыки переносятся
