id;nisha;domain;kod_stop_faktora;prichina_otseva
N003;Оборудование для кофеен (проф. кофемашины, кофемолки);B2B_EQUIP;RF-9;Авторизация дилера и сервис решают больше, чем упаковка — преимущество не наше
N005;Оборудование для бьюти (кресла, вытяжки, лампы, мойки);B2B_EQUIP;RF-6;Массовый китайский импорт на МП, ценовая конкуренция в лоб
N008;Оборудование для моек самообслуживания;B2B_EQUIP;CYCLE;Проектная продажа с длинным циклом — тест за 2 недели невозможен
N009;Прачечное оборудование (промышленные стиралки, сушки);B2B_EQUIP;CYCLE;Тендеры и длинный цикл, покупатель institucional
N010;Оборудование для пищевого производства (тестомесы, куттеры);B2B_EQUIP;RF-2;Санитарные требования и сертификация пищевого оборудования
N013;Металлообрабатывающие станки и ЧПУ;B2B_EQUIP;CAPITAL;Пусконаладка, вес, цикл сделки месяцами, требуется капитал
N018;Сварочные расходники (электроды, проволока, газ);PRODUCTION;RF-10;Низкий чек при большом весе — экономика требует склада
N019;Абразивы и расходка для металлообработки;PRODUCTION;RF-10;Склад ассортимента обязателен, маржа дистрибьютора минимальна
N020;Промышленный крепеж и метизы;PRODUCTION;RF-10;Крепёж — классический складской бизнес с низкой маржой
N025;Отопительные котлы и радиаторы;ENGINEERING;RF-2;Газовое оборудование: допуски, монтаж лицензированной организацией
N026;Теплый пол и терморегуляторы;ENGINEERING;RF-6;Комплект стандартизирован, на МП дешевле и удобнее
N031;Кондиционеры и сплит-системы;ENGINEERING;YF-2+RF-3;Монтаж обязателен, окно 3 месяца, демпинг монтажников
N032;Тепловые насосы;ENGINEERING;DEMAND;Узкий спрос, длинный цикл, нельзя протестировать дёшево
N033;Утеплители и изоляция;CONSTRUCTION;RF-10;Огромный объём при низкой цене — чистый складской товар
N034;Кровельные материалы и комплектующие;CONSTRUCTION;LOCAL;Резка под размер и сильные локальные игроки с площадками
N035;Фасадные системы и сайдинг;CONSTRUCTION;LOCAL;То же: габарит, локальные базы, ценовая конкуренция
N042;Дачная инфраструктура (душ, туалет, емкости для воды);GARDEN_FARM;RF-10;Объём при низкой цене, маржа не покрывает логистику
N043;Емкости и резервуары пластиковые (еврокубы, баки);GARDEN_FARM;RF-10;Ёмкости — воздух в кузове, экономика требует своего транспорта
N044;Строительный инструмент профессиональный;CONSTRUCTION;RF-6;Прямая ценовая война с МП и сетями, бренды диктуют цену
N045;Аренда строительного инструмента;CONSTRUCTION;SERVICE;Это услуга, требует парка инструмента — не товарная модель
N046;Опалубка и оснастка для бетонных работ;CONSTRUCTION;ASSET;Нужен парк оснастки, аренда = замороженный капитал
N047;Строительные леса и вышки-туры;CONSTRUCTION;ASSET;То же: парк, вес, хранение
N048;Такелаж, стропы, грузоподъемное оснащение;LOGISTICS_PACK;RF-2;Испытания строп и ответственность за грузоподъёмность
N049;Электрощитовое оборудование и автоматика;ENGINEERING;RF-2;Электробезопасность, ответственность за сборку щита
N051;Мебельная фурнитура (петли, направляющие, механизмы);FURNITURE;RF-10;Фурнитура — склад из сотен SKU при низком чеке
N056;Офисная мебель новая и б/у;FURNITURE;YF-4;Демпинг б/у, вывоз и хранение обязательны
