mesto;id;1_nazvanie;2_zachem;3_pokupatel;4_cena_rynka;5_cena_avito;6_konkurentnoe_okruzhenie;7_cena_zakupki;8_marzha;9_kapital;10_ves_razmer;11_logistika;12_MOQ;13_pod_zakaz;14_poshtuchno;15_bystro_poluchit;16_obyavlenie_bez_tovara;17_test_24_48ch;18_PRODUCT_FIT
1;I02;Фрезы по дереву профильные, наборы;Фрезы тупятся и ломаются, замена обязательна для продолжения работы;Столяр, цех;1 500 - 9 000 ₽ за набор;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Профильные магазины инструмента, есть на МП но ассортимент узкий;1 000 - 6 000 ₽ (ОЦЕНКА, скидка 30-35%);500 - 3 000 ₽;10 000 - 25 000 ₽;0,3-2 кг, коробка;простая, обычная посылка;от 1 шт у дистрибьютора (ОЦЕНКА);да;да;1-3 дня;да;да;8.7
2;I12;Клепальники и оснастка для заклёпок;Заклёпочное соединение нужно там, где нельзя варить: вентиляция, кузов, металлоконструкции;Мастерская, производство;2 000 - 12 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Профильные магазины инструмента, промышленные поставщики;1 400 - 8 400 ₽ (ОЦЕНКА);600 - 3 600 ₽;10 000 - 25 000 ₽;1-4 кг, кейс;простая;от 1 шт (ОЦЕНКА);да;да;3-7 дней;да;да;8.2
3;Z01;Груминг-инструмент: ножницы, машинки, насадки;Инструмент груминга - расходуемый: ножницы тупятся, ножи и насадки изнашиваются;Груминг-салон, заводчик;2 000 - 18 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Грум-Мир, Wikizoo, GroomeRu, официальные магазины брендов;1 300 - 12 000 ₽ (ОЦЕНКА);700 - 6 000 ₽;10 000 - 25 000 ₽;0,2-2 кг;простая;от 1 шт (ОЦЕНКА);да;да;3-7 дней;да;да;8.6
4;K07;Инструмент для кожевенного ремесла;Кожевенное ремесло растёт как хобби и микробизнес, инструмент специфичный;Мастер, хоббист;1 500 - 15 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Узкие профильные магазины, на МП представлен слабо;1 000 - 10 000 ₽ (ОЦЕНКА);500 - 5 000 ₽;10 000 - 25 000 ₽;0,2-3 кг;простая;от 1 шт (ОЦЕНКА);да;да;3-7 дней;да;да;8.6
5;X05;Запчасти для доильных аппаратов: пульсаторы, коллекторы;Пульсатор и коллектор изнашиваются, без них аппарат не доит - вынужденная замена;ЛПХ, малое КФХ;1 500 - 9 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Дилерская сеть Уралспецмаш, профильные фермерские магазины;1 100 - 6 700 ₽ (ОЦЕНКА);400 - 2 300 ₽;10 000 - 20 000 ₽;0,5-4 кг;простая;от 1 шт (ОЦЕНКА);да;да;3-7 дней;да;да;8.45
6;S03;Инвентарь для единоборств: лапы, перчатки, защита;Лапы, перчатки и защита изнашиваются в зале за сезон, клубы закупают партиями;Клуб, спортсмен;1 500 - 12 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Спортивные магазины, МП по рознице, клубные поставщики по партиям;1 000 - 8 000 ₽ (ОЦЕНКА);500 - 4 000 ₽;15 000 - 40 000 ₽ (партия под клуб);0,3-5 кг;простая;партия под клуб выгоднее (ОЦЕНКА);да;да;3-10 дней;да;да;8.4
7;X11;Ножи и запчасти для промышленных мясорубок и слайсеров;Нож и решётка мясорубки тупятся, при затуплении падает качество фарша - замена обязательна;Общепит, мясопереработка;1 500 - 12 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Поставщики оборудования общепита, сервисные компании;1 000 - 8 400 ₽ (ОЦЕНКА);500 - 3 600 ₽;10 000 - 25 000 ₽;0,3-3 кг;простая;от 1 шт (ОЦЕНКА);да;да;3-7 дней;да;да;8.35
8;P09;Подарочная упаковка и коробки премиум;Упаковка формирует цену подарка: коробка за 300 ₽ поднимает чек букета или торта на 1 000 ₽;Флорист, кондитер, магазин подарков;1 000 - 8 000 ₽ за партию;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Оптовики упаковки, типографии, МП по рознице;600 - 5 000 ₽ (ОЦЕНКА);400 - 3 000 ₽;10 000 - 30 000 ₽;1-8 кг, объёмная;средняя: коробки занимают объём;партия от 50-100 шт (ОЦЕНКА);частично;нет, партиями;5-14 дней;да;да;8.3
9;K05;Оборудование для валяния, ткачества, вышивки;Оборудование для рукоделия: спрос вырос на хобби, а профильных продавцов мало;Хоббист, мастер;1 500 - 15 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Узкие профильные магазины рукоделия, на МП фрагментарно;1 000 - 10 000 ₽ (ОЦЕНКА);500 - 5 000 ₽;10 000 - 25 000 ₽;0,3-5 кг;простая;от 1 шт (ОЦЕНКА);да;да;3-10 дней;да;да;8.3
10;C05;Абразивы: круги, ленты, диски для промышленной заточки;Абразив - чистый расходник: круги и ленты стачиваются, закупаются регулярно;Мастерская, производство;800 - 6 000 ₽;НЕ ИЗМЕРЕНО: выдача Авито не индексируется из среды;Промышленные поставщики, есть на МП но по рознице;550 - 4 200 ₽ (ОЦЕНКА);250 - 1 800 ₽;10 000 - 20 000 ₽;0,5-10 кг;простая;упаковками (ОЦЕНКА);да;упаковкой;3-7 дней;да;да;8.4
