id;nisha;tip;MARKET;CHANNEL_FIT;CUSTOMER_SIGNAL;DEMAND_EVIDENCE;FOUNDER_FIT;CASHFLOW;MARKET_ACTIVITY;COMPETITIVE_DIFFICULTY;EVIDENCE_COVERAGE_v2;CONFIDENCE;RAW_SCORE;CONFIDENCE_ADJUSTED;prev_type;prev_decision;VERDICT;cf_note;cs_note
N099;Упаковочное оборудование (запайщики, стрейч-машины);B2B;8.65;6.65;3;7.3;3.57;8.0;8.0;6.0;42;0.71;7.61;5.4;B — STRATEGIC BET;GO TEST;WAIT / PARTNER REQUIRED;Малое производство: часть ищет на Авито, часть у профильных поставщиков;Уход западных поставщиков освободил нишу (S29) - внешнее событие есть, но покупатели не опрошены
N052;Мебельные комплектующие: столешницы, фасады;B2B;7.5;7.25;2;7.57;7.14;8.14;7.0;7.0;42;0.71;7.43;5.28;A — LAUNCH NOW;GO NOW;CONDITIONAL GO;Двойной клиент: мелкие цеха и частник после ремонта. Частник ищет 'столешница на заказ' именно на Авито и постоянного поставщика не имеет;Покупатели не опрошены, внешних событий по нише нет
N022;Водоочистка и фильтрация для частного дома;B2C;8.1;7.6;2;7.81;2.57;8.57;8.0;6.0;32;0.657;7.85;5.16;B — STRATEGIC BET;WAIT;WAIT / PARTNER REQUIRED;Частный домовладелец ищет решение проблемы поиском и на Авито, поставщика не имеет;Покупатели не опрошены
N097;Складская техника (рохли, штабелёры);B2B;8.15;6.55;2;6.75;3.86;7.43;7.0;5.0;42;0.71;7.24;5.14;D — DO NOT PRIORITIZE;NO GO;KILL;Склады ищут срочно и локально - Авито работает, но нужен остаток;Покупатели не опрошены
N077;Оборудование для КФХ (доильные, кормораздача);B2B;8.55;5.6;3;6.84;1.86;6.71;6.0;3.0;42;0.71;7.09;5.03;C — EXPERIMENT;GO TEST;WAIT;Фермер закупает через дилеров и по грантовым процедурам, Авито - не основной канал;Грантовые программы обязывают закупать технику (S31) - внешнее событие есть, покупатели не опрошены
N057;Складские стеллажи и мезонины;B2B;8.0;6.5;2;5.92;4.43;6.43;7.0;6.0;42;0.71;6.96;4.94;D — DO NOT PRIORITIZE;NO GO;KILL;Расчёт под помещение, чаще идут к профильному поставщику;Покупатели не опрошены
N053;Механизмы трансформации и каркасы мягкой мебели;B2B;7.7;5.05;3;8.06;7.29;8.14;8.0;6.0;42;0.71;6.86;4.87;A — LAUNCH NOW;GO NOW;WAIT;Фабрики закупают напрямую с заводов и у известных оптовиков, держат склад и план закупок (S32). Поставщика ищут в отраслевых каталогах и на выставках (S33), не на Авито;Косвенный ценовой шок по фурнитуре (S26,S34), но санкционный перечень - петли, доводчики, ручки, замки, то есть КОРПУСНАЯ фурнитура, а не механизмы мягкой мебели. Покупатели не опрошены
N089;Оборудование для сублимации и печати на текстиле;B2B;8.15;8.15;2;8.32;4.0;8.14;6.0;4.0;18;0.588;8.19;4.82;C — EXPERIMENT;GO TEST;PARALLEL VALIDATION;Клиент - новичок и микробизнес. Постоянного поставщика нет вообще, первая покупка. На Авито активен рынок нового и б/у оборудования;Покупатели не опрошены. Отраслевой статистики по нише не существует
N023;Скважинное оборудование (насосы, кессоны, оголовки);B2C;8.55;7.05;2;5.74;2.57;7.86;8.0;7.0;32;0.657;7.32;4.81;D — DO NOT PRIORITIZE;NO GO;KILL;Частник ищет обустройство скважины поиском и на Авито;Покупатели не опрошены
N055;Мебель для HoReCa;B2B;7.5;6.6;2;5.0;8.14;6.71;5.0;6.0;42;0.71;6.56;4.66;C — EXPERIMENT;GO TEST;PARALLEL VALIDATION;Заведение ищет мебель на Авито, но при открытии чаще идёт к фабрике напрямую;Покупатели не опрошены. Внешний сигнал по рынку отрицательный (S28)
N021;Насосное оборудование и гидроаккумуляторы;B2C;7.55;7.25;2;6.13;3.0;8.86;7.0;7.0;32;0.657;7.09;4.66;C — EXPERIMENT;GO TEST;PARALLEL VALIDATION;Аварийная покупка, ищут срочно и локально. Но товар компактен - МП рядом;Покупатели не опрошены
N069;Товары для коммерческого транспорта;B2B;7.95;7.0;2;6.25;2.71;8.14;6.0;5.0;28;0.64;7.19;4.6;C — EXPERIMENT;GO TEST;PARALLEL VALIDATION;Перевозчики и автопарки используют Авито регулярно;Покупатели не опрошены
N087;Оборудование для единоборств (татами, мешки, ринги);B2B;7.85;6.8;2;4.86;3.71;6.86;5.0;4.0;28;0.64;6.73;4.31;C — EXPERIMENT;GO TEST;PARALLEL VALIDATION;Залы ищут комплекты, часть закупок через бюджетные процедуры;Покупатели не опрошены
